symbol,12M,1M,1W,3M,6M,9M
INTELLECT,51.6632,14.5244,-0.8372,10.327,-1.4069,50.2413
INVENTURE,-37.7358,-10.8108,-5.036,-12.5828,-15.3846,-21.8935
IOB,-22.2489,-3.4114,-0.8689,1.7042,2.9732,-16.7775
IOC,27.6651,11.3097,-0.6901,21.0761,19.5129,41.144
IOLCP,-72.5795,0.9284,7.7365,-2.4373,10.9861,-71.9607
IRB,-9.3671,-0.2554,-0.6475,-3.6771,-16.1756,-9.4817
IRCON,-11.4252,-4.0886,-0.6692,-4.9042,-11.9886,2.8861
IREDA,-20.2165,-2.3752,0.3824,0.5579,-12.355,-15.6366
IRFC,-12.4955,-3.2462,-0.4934,-4.5135,-11.5618,-3.2771
ITBEES,-10.1439,3.5511,0.5537,2.5937,-0.2497,-8.644
ITC,-12.5174,-1.1863,0.3195,0.5172,-4.2126,1.8084
ITCHOTELS,22.5999,-4.6625,0.7514,-14.9813,-2.7432,28.56
IXIGO,87.9281,-15.634,0.4714,-0.4169,59.7394,97.5194
J&KBANK,14.9041,0.5155,-0.1676,2.8287,6.6428,6.0942
JAICORPLTD,-49.7344,-7.5053,0.3289,21.8437,39.3586,35.7026
JAINREC,38.2444,25.5676,0.9876,38.2444,38.2444,38.2444
JAMNAAUTO,6.856,14.8905,11.2698,2.4029,21.4246,42.633
JAYNECOIND,85.0969,1.6228,1.8172,17.558,85.3731,117.9585
JINDALSAW,-44.301,-9.3623,-2.1748,-17.7623,-19.1075,-34.0624
JINDALSTEL,21.3645,7.0207,-0.3703,5.8991,12.11,22.2468
JIOFIN,-1.2233,1.3518,3.2798,-4.1254,14.6968,34.7627
JISLJALEQS,-26.4997,-5.5622,-0.8137,-9.0144,-15.5745,-22.333
JKTYRE,22.2754,9.9295,1.5789,39.4573,20.1672,57.5073
JMFINANCIL,16.1054,-13.1785,2.2046,-18.367,21.7535,46.5376
JPPOWER,7.117,-0.6711,-1.3881,-6.7717,20.8163,27.5862
JSWCEMENT,-13.4798,-7.7653,3.1337,-17.8444,-13.4798,-13.4798
JSWENERGY,-25.8137,0.6855,0.3701,-0.5548,5.7706,6.4841
JSWINFRA,-5.389,-4.472,-0.8821,-8.8874,-2.5668,8.3301
JSWSTEEL,22.9457,1.9735,-1.9891,7.8699,16.1297,18.9327
JTLIND,-35.0171,-13.2202,1.6878,-16.2768,-13.8224,-33.1979
JUBLFOOD,1.3423,4.1557,6.0771,-2.9801,-8.743,-11.1288
JYOTICNC,-13.0314,2.8751,0.3308,0.9884,-21.325,6.4991
JYOTISTRUC,-62.2824,-14.2229,3.5398,-26.5997,-40.3366,-35.0
KALAMANDIR,5.3718,-7.1114,-4.0269,-8.9927,44.1033,7.9505
KALYANKJIL,-25.8511,0.1212,-2.7287,-2.9573,-10.5757,2.1123
KAMDHENU,-94.3891,0.813,-1.5873,-7.4627,-4.4149,-16.0615
KARURVYSYA,17.2822,3.4354,1.5418,-3.7965,12.4882,16.9909
KEC,-21.3288,-7.1496,3.0597,-3.5107,-2.746,4.7093
KELLTONTEC,-85.1386,-5.3579,-0.6616,-18.9043,-82.0327,-83.1029
KFINTECH,10.7411,-3.2572,-0.914,-2.841,3.2673,18.975
KHAICHEM,41.4456,-24.9901,-2.0941,-21.949,29.6231,66.0136
KIRLOSENG,-3.8223,23.724,15.512,13.6132,28.3104,86.5795
KITEX,-65.1285,13.3441,3.7826,6.4101,-31.714,28.5036
KNRCON,-46.4299,-11.1692,-5.2818,-17.4672,-27.0175,-27.9923
KOTAKBANK,20.7198,-6.0575,-0.345,3.083,0.6729,6.4847
KPIGREEN,-39.5648,-5.4772,-3.4752,-9.999,0.3849,16.3465
KRBL,53.3393,12.3218,13.9162,-8.6003,21.3196,56.3262
KTKBANK,-14.247,-2.879,-1.9213,1.2094,-11.5812,2.3941
LATENTVIEW,7.5349,13.6876,0.6901,14.3793,19.2777,21.4712
LAURUSLABS,106.5543,8.5103,1.3493,14.0346,69.1357,91.5812
LEMONTREE,28.7912,-5.8526,-1.8991,0.6107,15.547,18.9633
LGEINDIA,-4.2665,-2.8465,-2.864,-4.2665,-4.2665,-4.2665
LICHSGFIN,-7.1095,-0.9336,-0.6649,-2.1376,-4.3148,4.347
LICI,0.8539,1.9734,0.9827,1.123,7.5381,16.4618
LIQUIDBEES,0.0,0.0,0.001,0.0,0.0,0.0
LIQUIDCASE,5.6625,0.3513,0.0719,1.2359,2.5216,3.9373
LLOYDSENGG,-15.4419,-2.8696,-0.6693,-15.921,19.9337,-12.6603
LLOYDSENT,45.2015,-5.3144,1.3837,-14.2538,29.9781,31.1545
LODHA,-2.1638,2.0159,-0.9419,-6.9615,-14.2016,-0.4977
LOTUSDEV,-11.407,-6.3176,0.7849,-7.3143,-11.407,-11.407
LOWVOLIETF,10.939,0.0436,1.0582,2.0481,7.2532,12.7398
LT,13.05,3.4007,1.2491,11.4718,12.7555,20.7927
LTF,112.0917,9.9462,-0.305,35.8472,69.3339,116.701
LTGILTBEES,8.5225,0.4478,-0.0343,1.6382,0.8299,5.6905
LUPIN,0.9603,5.7362,4.0184,5.9269,4.3988,7.8699
M&M,29.9168,2.7646,-1.347,8.9233,23.0283,38.5581
M&MFIN,19.5391,3.9751,-2.8639,15.4911,20.5193,14.1246
MAHABANK,12.01,-2.6841,1.6115,5.1477,14.9851,16.6968
MANAKCOAT,122.6984,-8.5993,-1.0439,-6.348,43.1633,43.1633
MANAPPURAM,82.648,-2.3446,2.2736,5.6558,22.4201,39.6533
MARICO,24.12,1.5605,3.6045,-1.749,5.7931,18.2298
MARKSANS,-37.7921,8.9756,-0.7683,6.0334,-22.0259,-14.8684
MAXHEALTH,10.3265,-8.8046,0.7029,-9.9951,-3.9279,9.1908
