trade_date,avg_price_change,median_price_change,price_volatility,stocks_traded,avg_intraday_volatility,median_volatility,max_volatility,total_volume,total_turnover,unique_stocks,advance_decline_ratio,advancing_stocks,declining_stocks,unchanged_stocks,moon_sign,moon_degree,element,quality,ruling_planet,predicted_volatility,risk_level,market_tendency,sign_numeric,element_numeric,quality_numeric
2025-04-11,0.1994,-0.0325,1.2411,8,2.2156,2.1349,2.9584,82032218,135351288000.0,8,0.5,4,4,0,Libra,2.34,Air,Cardinal,Venus,0.8,Low,Balanced Trading,6,0,0
2025-04-15,-0.4016,-0.682,1.3222,8,1.9396,1.9588,3.0157,87254993,140667780000.0,8,0.125,1,7,0,Scorpio,15.9,Water,Fixed,Mars,1.5,Very High,Deep Transformations,9,3,1
2025-04-16,0.1162,0.1886,0.893,8,1.5476,1.5616,2.1544,66558990,97771085000.0,8,0.5,4,4,0,Scorpio,28.15,Water,Fixed,Mars,1.5,Very High,Deep Transformations,9,3,1
2025-04-17,2.2347,2.2055,0.9431,8,3.4329,3.6334,4.3847,109075414,159154536000.0,8,0.5,8,0,0,Sagittarius,11.09,Fire,Mutable,Jupiter,1.0,Medium,Expansive Growth,8,2,2
2025-04-21,0.76,0.9557,1.5392,8,2.526,2.1521,4.383,84060588,126633574000.0,8,0.75,6,2,0,Aquarius,6.31,Air,Fixed,Saturn,1.1,Medium,Innovation Spurts,0,0,1
2025-04-22,-0.3622,-0.4618,0.9961,8,1.7086,1.423,2.7119,97611098,145973168000.0,8,0.375,3,5,0,Aquarius,19.8,Air,Fixed,Saturn,1.1,Medium,Innovation Spurts,0,0,1
2025-04-23,0.0749,0.5064,1.5765,8,2.2914,2.5073,3.3333,75778646,122041151000.0,8,0.625,5,3,0,Pisces,2.97,Water,Mutable,Jupiter,1.2,Medium-High,Intuitive Flows,7,3,2
2025-04-24,-0.1789,0.0473,0.7301,8,1.2094,1.0415,2.0432,68367040,105147077000.0,8,0.625,5,3,0,Pisces,15.96,Water,Mutable,Jupiter,1.2,Medium-High,Intuitive Flows,7,3,2
2025-04-25,-0.6156,-0.5377,0.9502,8,2.7137,2.7176,3.9264,66165454,100082435000.0,8,0.25,2,6,0,Pisces,29.0,Water,Mutable,Jupiter,1.2,Medium-High,Intuitive Flows,7,3,2
2025-04-28,1.0349,1.0607,1.1599,8,2.2608,1.9307,4.0597,72801839,106168313000.0,8,0.875,7,1,0,Taurus,11.36,Earth,Fixed,Venus,0.7,Low,Steady Accumulation,10,1,1
